,,Mortalité J30,Mortalité J30,Mortalité J30,Mortalité J30,Complications J30,Complications J30,Complications J30,Complications J30
,,Anémie,Pas d'anémie,Hazard Ratio IC 95%,P value,Anémie,Pas d'anémie,Hazard Ratio IC 95%,P value
,Total,27,12,,,168,116,,
Age,80-84,11,4,,,70,62,,
Age,85-89,10,2,,,62,29,,
Age,>90,6,6,,,36,25,,
Anesthesie,AG,18,8,,,100,69,,
Anesthesie,Autre,9,4,,,68,47,,
Type chirurgie,Urgente,2,2,,,15,10,,
Type chirurgie,Programmee,25,10,,,153,106,,
Severite chirurgie,Majeure,11,5,,,95,70,,
Severite chirurgie,Intermediaire,8,3,,,22,15,,
Severite chirurgie,Mineure,8,4,,,51,31,,
Fragilite,Presence,17,3,,,84,15,,
Fragilite,Absence,10,9,,,84,101,,
IRA,Presence,11,2,,,53,22,,
IRA,Absence,16,10,,,115,94,,
Morbidites,Presence,19,4,,,90,34,,
Morbidites,Absence,8,8,,,78,82,,
Sexe,M,14,2,,,92,40,,
Sexe,F,13,10,,,76,76,,
CGR,Presence,7,1,,,29,10,,
CGR,Absence,20,11,,,139,106,,
Score ASA,1,,,,,,,,
Score ASA,2,,,,,,,,
Score ASA,3,,,,,,,,
Score ASA,4,,,,,,,,
Score ASA,5,,,,,,,,
